Latitude,Longitude
-38.06971,177.26365
-38.06969,177.2637
-38.06965,177.26375
-38.06963,177.2638
-38.06965,177.26382
-38.06967,177.26385
-38.06967,177.2639
-38.06968,177.26394
-38.06967,177.26397
-38.06966,177.26401
-38.06967,177.26406
-38.06968,177.26407
-38.06971,177.26409
-38.06974,177.26408
-38.06978,177.26407
-38.0698,177.26408
-38.06983,177.26409
-38.06985,177.26411
-38.06988,177.26414
-38.06991,177.26415
-38.06994,177.26415
-38.06998,177.26415
-38.07002,177.26415
-38.07006,177.26416
-38.07009,177.26415
-38.07012,177.26414
-38.07016,177.26415
-38.07019,177.26416
-38.07021,177.26419
-38.07024,177.26421
-38.07026,177.26424
-38.07028,177.26427
-38.0703,177.2643
-38.07032,177.26432
-38.07035,177.26436
-38.07036,177.2644
-38.07038,177.26443
-38.07039,177.26446
-38.07042,177.26453
-38.0705,177.26456
-38.07055,177.26455
-38.07057,177.26463
-38.0706,177.26463
-38.07062,177.26466
-38.07062,177.26469
-38.07061,177.26472
-38.0706,177.26478
-38.07059,177.26482
-38.07059,177.26485
-38.07059,177.26489
-38.07055,177.26492
-38.07052,177.26494
-38.0705,177.26497
-38.07048,177.265
-38.07046,177.26502
-38.07044,177.26506
-38.07041,177.26508
-38.0704,177.26511
-38.07038,177.26515
-38.07036,177.26518
-38.07034,177.26523
-38.07033,177.26527
-38.07032,177.2653
-38.0703,177.26533
-38.07027,177.26534
-38.07023,177.26536
-38.0702,177.26538
-38.07016,177.26539
-38.07013,177.26538
-38.07011,177.26535
-38.07008,177.26534
-38.07007,177.2653
-38.07007,177.26527
-38.07005,177.26525
-38.07002,177.26523
-38.07,177.26521
-38.06996,177.26521
-38.06993,177.2652
-38.06989,177.26521
-38.06987,177.26523
-38.06985,177.26526
-38.0698,177.2654
-38.06979,177.2654
-38.06976,177.26541
-38.06972,177.2654
-38.06968,177.2654
-38.06966,177.26536
-38.06967,177.26533
-38.06969,177.2653
-38.06972,177.26529
-38.06973,177.26526
-38.06972,177.26522
-38.06971,177.26518
-38.0697,177.26514
-38.06969,177.26511
-38.06968,177.26507
-38.06966,177.26503
-38.06964,177.26502
-38.06961,177.26499
-38.06959,177.26496
-38.06957,177.26492
-38.06955,177.26489
-38.06952,177.2649
-38.0695,177.26493
-38.06948,177.26496
-38.06946,177.26499
-38.06942,177.26501
-38.06939,177.26503
-38.06936,177.26505
-38.06933,177.26508
-38.06932,177.26511
-38.06931,177.26515
-38.06931,177.26519
-38.06932,177.26523
-38.06932,177.26527
-38.0693,177.2653
-38.06927,177.26533
-38.06925,177.26534
-38.06923,177.26537
-38.06921,177.2654
-38.06918,177.2654
-38.06915,177.26539
-38.06911,177.2654
-38.06908,177.2654
-38.06906,177.26542
-38.06903,177.26544
-38.06902,177.26548
-38.06901,177.26552
-38.06898,177.26554
-38.06896,177.26552
-38.06896,177.26548
-38.06895,177.26544
-38.06892,177.26544
-38.06889,177.26546
-38.06888,177.26549
-38.06886,177.26554
-38.06883,177.26556
-38.0688,177.26558
-38.06878,177.26561
-38.06875,177.26566
-38.06874,177.26571
-38.06872,177.26576
-38.06869,177.26579
-38.06867,177.26582
-38.06865,177.26584
-38.06862,177.26586
-38.0686,177.26588
-38.06857,177.26593
-38.06856,177.26596
-38.06853,177.26598
-38.06849,177.266
-38.06847,177.26601
-38.06845,177.26604
-38.06844,177.26608
-38.06842,177.26612
-38.06838,177.26613
-38.06836,177.26615
-38.06834,177.26618
-38.06832,177.2662
-38.0683,177.26624
-38.06828,177.26627
-38.06828,177.26631
-38.06826,177.26635
-38.06824,177.26638
-38.06822,177.2664
-38.06819,177.26642
-38.06817,177.26644
-38.06817,177.2664
-38.06815,177.26636
-38.06813,177.26634
-38.0681,177.26633
-38.06806,177.26633
-38.06806,177.26632
-38.06806,177.26631
-38.06806,177.2663
-38.06803,177.26623
-38.06802,177.26621
-38.06802,177.26622
-38.06801,177.26619
-38.068,177.26614
-38.06799,177.2661
-38.06797,177.26606
-38.06795,177.26604
-38.06793,177.26599
-38.06794,177.26594
-38.06794,177.26591
-38.06797,177.26588
-38.068,177.26586
-38.068,177.26583
-38.06798,177.2658
-38.06797,177.26577
-38.06796,177.26573
-38.06796,177.2657
-38.06793,177.26568
-38.06794,177.26564
-38.06796,177.26561
-38.06798,177.26559
-38.06798,177.26555
-38.06799,177.26551
-38.06802,177.26549
-38.06805,177.26549
-38.06808,177.26548
-38.0681,177.26546
-38.06812,177.26543
-38.06814,177.2654
-38.06817,177.26539
-38.06821,177.26539
-38.06824,177.2654
-38.06827,177.2654
-38.0683,177.26539
-38.06833,177.26538
-38.06837,177.26537
-38.06841,177.26537
-38.06843,177.26536
-38.06846,177.26532
-38.0685,177.2653
-38.06853,177.26529
-38.06856,177.26529
-38.0686,177.26529
-38.06862,177.26527
-38.06865,177.26525
-38.06867,177.26523
-38.06869,177.2652
-38.06871,177.2652
-38.0687,177.26516
-38.06868,177.26515
-38.06868,177.26511
-38.06869,177.26509
-38.06873,177.26508
-38.06875,177.26507
-38.06877,177.26504
-38.06879,177.26501
-38.06882,177.26497
-38.06885,177.26494
-38.06887,177.26491
-38.06885,177.26488
-38.06884,177.26484
-38.06885,177.26481
-38.06886,177.26477
-38.06884,177.26474
-38.06884,177.2647
-38.06884,177.26465
-38.06887,177.26463
-38.06889,177.26461
-38.06891,177.26458
-38.06893,177.26456
-38.06894,177.26451
-38.06894,177.26448
-38.06895,177.26444
-38.06897,177.26442
-38.06899,177.26439
-38.06902,177.26436
-38.06903,177.26432
-38.06905,177.26428
-38.06908,177.26425
-38.06911,177.26423
-38.06914,177.26422
-38.06917,177.2642
-38.0692,177.26419
-38.06923,177.26416
-38.06925,177.26413
-38.06926,177.26409
-38.06929,177.26407
-38.0693,177.26404
-38.06932,177.26402
-38.06935,177.26401
-38.06938,177.264
-38.0694,177.26397
-38.06941,177.26394
-38.06943,177.26391
-38.06946,177.26388
-38.06949,177.26385
-38.06952,177.26383
-38.06954,177.2638
-38.06956,177.26377
-38.06959,177.26377
-38.06961,177.26379
-38.06962,177.26383
-38.06964,177.26378
-38.06967,177.26373
-38.06967,177.26372
-38.06971,177.26365
